wykryte;nienaprawialne;niewykryte;bledy
6064;530;20;6084
6073;515;19;6092
6226;589;12;6238
6025;566;19;6044
6192;598;21;6213
6211;546;10;6221
6125;549;20;6145
6193;549;16;6209
6129;556;23;6152
6186;580;10;6196
6198;573;15;6213
6198;558;19;6217
6101;534;14;6115
6245;620;17;6262
6170;546;13;6183
6277;586;11;6288
6159;539;19;6178
6267;550;17;6284
6171;593;15;6186
6214;536;19;6233
6243;576;15;6258
6150;542;16;6166
6162;584;20;6182
6205;603;24;6229
6102;541;17;6119
6177;602;18;6195
6103;559;21;6124
6141;560;10;6151
6157;553;16;6173
6240;610;26;6266
6186;584;20;6206
6125;563;22;6147
6099;556;18;6117
6175;565;22;6197
6103;565;12;6115
6150;570;29;6179
6079;560;15;6094
6080;569;23;6103
6205;584;16;6221
6238;588;23;6261
6123;549;10;6133
6248;580;26;6274
6172;593;21;6193
6033;523;15;6048
6135;554;17;6152
6208;575;11;6219
6107;571;16;6123
6171;566;21;6192
6063;557;17;6080
6092;588;18;6110
6136;560;26;6162
6109;579;22;6131
6121;566;18;6139
6167;563;17;6184
6001;565;14;6015
6107;554;32;6139
6133;626;26;6159
6112;560;8;6120
6129;580;22;6151
6163;584;19;6182
6133;579;13;6146
6045;560;22;6067
6220;619;24;6244
6134;575;17;6151
6188;537;22;6210
6077;557;18;6095
6125;523;24;6149
6205;581;15;6220
6183;577;19;6202
6162;559;16;6178
6185;582;16;6201
6212;589;15;6227
6228;581;13;6241
6214;551;25;6239
6209;576;23;6232
6204;592;27;6231
6152;594;16;6168
6152;515;16;6168
6174;582;23;6197
6073;571;15;6088
6101;572;13;6114
6049;583;20;6069
6109;553;17;6126
6175;582;17;6192
6156;586;16;6172
6261;618;24;6285
6137;594;22;6159
6064;602;21;6085
6155;586;20;6175
6051;573;21;6072
6148;549;18;6166
6203;539;14;6217
6110;618;16;6126
6187;595;18;6205
6228;594;22;6250
6220;606;11;6231
6274;590;17;6291
6097;573;16;6113
6142;565;15;6157
6089;616;18;6107
6141;556;20;6161
6233;598;19;6252
6179;571;19;6198
6161;580;16;6177
6143;571;17;6160
6170;564;21;6191
6256;543;25;6281
6247;541;15;6262
6079;550;25;6104
6062;591;19;6081
6197;640;29;6226
6042;587;17;6059
6094;543;10;6104
6220;524;14;6234
6035;561;17;6052
6135;611;20;6155
6046;571;19;6065
6156;571;22;6178
6105;555;20;6125
6178;581;16;6194
6176;606;20;6196
6021;546;17;6038
6286;612;22;6308
6120;581;18;6138
6162;576;19;6181
6078;552;9;6087
6147;548;21;6168
6106;557;21;6127
6147;586;20;6167
6276;537;20;6296
6196;563;20;6216
6186;581;16;6202
6212;601;20;6232
6138;608;23;6161
6146;587;21;6167
6200;605;24;6224
6075;590;17;6092
6133;582;19;6152
6112;578;17;6129
6398;566;17;6415
6334;589;18;6352
6186;561;15;6201
6091;540;21;6112
6168;568;17;6185
6094;573;18;6112
6236;550;13;6249
6187;563;22;6209
6147;572;20;6167
6189;547;15;6204
6090;549;13;6103
6196;577;16;6212
