;wykryte;nienaprawialne;niewykryte;bledy
543;6163;579;15;6178
544;6013;540;21;6034
545;6057;580;20;6077
546;6131;563;19;6150
547;6130;559;26;6156
548;6101;527;18;6119
549;6103;587;24;6127
550;6103;579;20;6123
551;6217;561;9;6226
552;6227;576;18;6245
553;6225;596;26;6251
554;6107;591;18;6125
555;6135;597;17;6152
556;6082;572;18;6100
557;6138;556;15;6153
558;6181;559;16;6197
559;6332;611;16;6348
560;6130;568;24;6154
561;6053;547;16;6069
562;6196;606;17;6213
563;6168;590;17;6185
564;6112;561;14;6126
565;6311;564;22;6333
566;6145;527;23;6168
567;6155;561;20;6175
568;6174;581;16;6190
569;6123;580;23;6146
570;6118;570;24;6142
571;6146;554;18;6164
572;5962;566;18;5980
573;6043;579;14;6057
574;6030;514;18;6048
575;6179;603;19;6198
576;6088;533;11;6099
577;6095;558;17;6112
578;6179;546;16;6195
579;6178;602;18;6196
580;6184;583;20;6204
581;6167;544;22;6189
582;6107;570;27;6134
583;6123;607;13;6136
584;6128;554;19;6147
585;6050;580;24;6074
586;6172;582;13;6185
587;6200;589;15;6215
588;6035;549;18;6053
589;6215;544;15;6230
590;6127;600;18;6145
591;6106;548;11;6117
592;6108;576;10;6118
593;6186;547;12;6198
594;6226;560;22;6248
595;6058;565;22;6080
596;6056;566;12;6068
597;6127;553;17;6144
598;6164;595;12;6176
599;6126;561;25;6151
600;6202;591;11;6213
601;6095;561;16;6111
602;6227;606;25;6252
603;6225;521;21;6246
604;6084;547;21;6105
605;6160;599;20;6180
606;6049;583;16;6065
607;6122;548;20;6142
608;6162;609;22;6184
609;6299;596;13;6312
610;6127;562;27;6154
611;6115;592;26;6141
612;6286;540;11;6297
613;6140;559;17;6157
614;6235;572;20;6255
615;6172;538;27;6199
616;6135;573;22;6157
617;6145;574;17;6162
618;6072;526;19;6091
619;6148;596;24;6172
620;6117;581;19;6136
621;6160;578;19;6179
622;6241;595;23;6264
623;6167;615;23;6190
624;6126;554;11;6137
625;6216;583;13;6229
626;6029;587;24;6053
627;6100;573;12;6112
628;6243;589;24;6267
629;6244;589;19;6263
630;6056;554;19;6075
631;6129;584;20;6149
632;6147;599;18;6165
633;6078;613;22;6100
634;6227;565;22;6249
635;6086;561;25;6111
636;6132;558;16;6148
637;6102;542;10;6112
638;6050;571;20;6070
639;6141;568;20;6161
640;6172;583;19;6191
641;6109;520;12;6121
642;6080;589;12;6092
643;6159;544;16;6175
644;6049;556;14;6063
645;6264;558;17;6281
646;6161;568;24;6185
647;6244;591;20;6264
648;6104;567;16;6120
649;6203;633;19;6222
650;6143;622;23;6166
651;6245;570;16;6261
652;6077;556;21;6098
653;6105;598;15;6120
654;6113;547;14;6127
655;6126;553;15;6141
656;6100;560;17;6117
657;6146;545;13;6159
658;6123;559;15;6138
659;6156;575;16;6172
660;6168;554;16;6184
661;6054;533;21;6075
662;6165;558;15;6180
663;6083;550;17;6100
664;6140;591;26;6166
665;6125;598;20;6145
666;6141;580;20;6161
667;6087;533;13;6100
668;6168;565;26;6194
669;6241;581;20;6261
670;5984;561;33;6017
671;6146;594;18;6164
672;6176;546;11;6187
673;6172;594;16;6188
674;6185;569;21;6206
675;6156;587;19;6175
676;6192;543;19;6211
677;6064;530;20;6084
678;6073;515;19;6092
679;6226;589;12;6238
680;6025;566;19;6044
681;6192;598;21;6213
682;6211;546;10;6221
683;6125;549;20;6145
684;6193;549;16;6209
685;6129;556;23;6152
686;6186;580;10;6196
687;6198;573;15;6213
688;6198;558;19;6217
689;6101;534;14;6115
690;6245;620;17;6262
691;6170;546;13;6183
692;6277;586;11;6288
693;6159;539;19;6178
694;6267;550;17;6284
695;6171;593;15;6186
696;6214;536;19;6233
697;6243;576;15;6258
698;6150;542;16;6166
699;6162;584;20;6182
700;6205;603;24;6229
701;6102;541;17;6119
702;6177;602;18;6195
703;6103;559;21;6124
704;6141;560;10;6151
705;6157;553;16;6173
706;6240;610;26;6266
707;6186;584;20;6206
708;6125;563;22;6147
709;6099;556;18;6117
710;6175;565;22;6197
711;6103;565;12;6115
712;6150;570;29;6179
713;6079;560;15;6094
714;6080;569;23;6103
715;6205;584;16;6221
716;6238;588;23;6261
717;6123;549;10;6133
718;6248;580;26;6274
719;6172;593;21;6193
720;6033;523;15;6048
721;6135;554;17;6152
722;6208;575;11;6219
723;6107;571;16;6123
724;6171;566;21;6192
725;6063;557;17;6080
726;6092;588;18;6110
727;6136;560;26;6162
728;6109;579;22;6131
729;6121;566;18;6139
730;6167;563;17;6184
731;6001;565;14;6015
732;6107;554;32;6139
733;6133;626;26;6159
734;6112;560;8;6120
735;6129;580;22;6151
736;6163;584;19;6182
737;6133;579;13;6146
738;6045;560;22;6067
739;6220;619;24;6244
740;6134;575;17;6151
741;6188;537;22;6210
742;6077;557;18;6095
743;6125;523;24;6149
744;6205;581;15;6220
745;6183;577;19;6202
746;6162;559;16;6178
747;6185;582;16;6201
748;6212;589;15;6227
749;6228;581;13;6241
750;6214;551;25;6239
751;6209;576;23;6232
752;6204;592;27;6231
753;6152;594;16;6168
754;6152;515;16;6168
755;6174;582;23;6197
756;6073;571;15;6088
757;6101;572;13;6114
758;6049;583;20;6069
759;6109;553;17;6126
760;6175;582;17;6192
761;6156;586;16;6172
762;6261;618;24;6285
763;6137;594;22;6159
764;6064;602;21;6085
765;6155;586;20;6175
766;6051;573;21;6072
767;6148;549;18;6166
768;6203;539;14;6217
769;6110;618;16;6126
770;6187;595;18;6205
771;6228;594;22;6250
772;6220;606;11;6231
773;6274;590;17;6291
774;6097;573;16;6113
775;6142;565;15;6157
776;6089;616;18;6107
777;6141;556;20;6161
778;6233;598;19;6252
779;6179;571;19;6198
780;6161;580;16;6177
781;6143;571;17;6160
782;6170;564;21;6191
783;6256;543;25;6281
784;6247;541;15;6262
785;6079;550;25;6104
786;6062;591;19;6081
787;6197;640;29;6226
788;6042;587;17;6059
789;6094;543;10;6104
790;6220;524;14;6234
791;6035;561;17;6052
792;6135;611;20;6155
793;6046;571;19;6065
794;6156;571;22;6178
795;6105;555;20;6125
796;6178;581;16;6194
797;6176;606;20;6196
798;6021;546;17;6038
799;6286;612;22;6308
800;6120;581;18;6138
801;6162;576;19;6181
802;6078;552;9;6087
803;6147;548;21;6168
804;6106;557;21;6127
805;6147;586;20;6167
806;6276;537;20;6296
807;6196;563;20;6216
808;6186;581;16;6202
809;6212;601;20;6232
810;6138;608;23;6161
811;6146;587;21;6167
812;6200;605;24;6224
813;6075;590;17;6092
814;6133;582;19;6152
815;6112;578;17;6129
816;6398;566;17;6415
817;6334;589;18;6352
818;6186;561;15;6201
819;6091;540;21;6112
820;6168;568;17;6185
821;6094;573;18;6112
822;6236;550;13;6249
823;6187;563;22;6209
824;6147;572;20;6167
825;6189;547;15;6204
826;6090;549;13;6103
827;6196;577;16;6212
828;6075;546;27;6102
829;6187;557;22;6209
830;6190;596;24;6214
831;6271;623;13;6284
832;6079;562;18;6097
833;6119;555;16;6135
834;6039;598;24;6063
835;6151;604;17;6168
836;6165;564;17;6182
837;6088;593;32;6120
838;6152;525;12;6164
839;6127;558;22;6149
840;6146;575;13;6159
841;5969;554;29;5998
842;6126;558;23;6149
843;6225;602;22;6247
844;6124;558;18;6142
845;6194;576;25;6219
846;6152;588;15;6167
847;6259;592;15;6274
848;6203;583;14;6217
