wykryte;nienaprawione;niewykryte;bledy
748;35;0;748
673;29;0;673
706;42;0;706
693;35;0;693
765;45;0;765
693;34;0;693
727;38;1;728
732;38;1;733
725;30;0;725
714;30;1;715
743;32;1;744
696;33;1;697
730;33;0;730
750;41;0;750
697;42;2;699
715;38;2;717
733;39;0;733
704;44;0;704
705;45;1;706
697;38;1;698
677;36;1;678
742;37;1;743
682;30;1;683
720;34;1;721
673;40;0;673
716;32;2;718
738;38;1;739
755;28;0;755
706;35;0;706
715;39;1;716
687;35;0;687
686;32;1;687
731;52;2;733
688;29;1;689
726;32;0;726
696;38;1;697
716;32;0;716
701;48;0;701
698;25;0;698
724;33;2;726
679;36;1;680
731;55;1;732
726;41;2;728
692;44;0;692
745;27;0;745
686;23;0;686
680;36;0;680
714;33;0;714
710;32;1;711
693;34;0;693
741;44;0;741
741;30;2;743
664;19;0;664
703;40;0;703
668;23;1;669
741;34;1;742
718;42;0;718
737;38;1;738
736;34;0;736
728;37;0;728
695;34;0;695
701;40;2;703
692;33;0;692
711;38;2;713
698;38;0;698
712;34;0;712
760;43;0;760
737;37;0;737
711;38;1;712
